Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0107573806983678,-0.000121111379146382,0.168820068401291,0,0,0,7.75262327008847,0.0674364406464489,2.6530001859869E-06,-2.02885454828053E-06,0.0607129183001536,-2.82546028667119E-08,0.117886359812438,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/base_link.STL,,01-10-00A-2,center_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
turn_front_left_link,2.4774E-06,-4.2768E-06,-0.041346,0,0,0,0.1509,8.621E-05,-2.6953E-09,-8.1387E-10,5.4519E-05,1.5042E-09,6.6419E-05,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/turn_front_left_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/turn_front_left_link.STL,,20-00A-4,turn_front_left_cs,turn_front_left_axis,turn_front_left_link_joint,continuous,0.285,0.215,0.1705,0,0,0,base_link,0,0,1,9999,9999,-9999,9999,,,,0.01,,,,
wheel_front_left_link,-6.7203E-07,-0.0039185,1.1995E-07,0,0,0,1.7978,0.0022135,1.588E-07,2.5603E-08,0.003666,-1.0669E-08,0.0022134,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/wheel_front_left_link.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/wheel_front_left_link.STL,,ZLLG55ASM150 V1.0-4,wheel_front_left_cs,wheel_front_left_axis,wheel_front_left_link_joint,continuous,0,0.0039,-0.101,0,0,0,turn_front_left_link,0,1,0,9999,9999,-9999,9999,,,,0.01,,,,
turn_front_right_link,-2.4774E-06,4.2768E-06,-0.041346,0,0,0,0.1509,8.621E-05,-2.6953E-09,8.1387E-10,5.4519E-05,-1.5042E-09,6.6419E-05,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/turn_front_right_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/turn_front_right_link.STL,,20-00A-1,turn_front_right_cs,wheel_front_right_axis,turn_front_right_link_joint,continuous,0.285,-0.215,0.1705,0,0,0,base_link,0,-1,0,9999,9999,-9999,9999,,,,0.01,,,,
wheel_front_right_link,6.7203E-07,0.0039185,1.1995E-07,0,0,0,1.7978,0.0022135,1.588E-07,-2.5603E-08,0.003666,1.0669E-08,0.0022134,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/wheel_front_right_link.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/wheel_front_right_link.STL,,ZLLG55ASM150 V1.0-1,wheel_front_right_cs,wheel_front_right_axis,wheel_front_right_link_joint,continuous,0,-0.0039,-0.101,0,0,0,turn_front_right_link,0,-1,0,9999,9999,-9999,9999,,,,0.01,,,,
turn_back_left_link,2.47739936293234E-06,-0.00390427681696906,0.0596537478356015,0,0,0,0.150899435444674,8.62104557625573E-05,-2.69534706876987E-09,-8.13867681148677E-10,5.45191084176943E-05,1.50418273401286E-09,6.64192852433824E-05,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/turn_back_left_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/turn_back_left_link.STL,,20-00A-2,turn_back_left_cs,turn_back_left_axis,turn_back_left_link_joint,continuous,-0.285,0.2189,0.0695,0,0,0,base_link,0,0,1,9999,9999,-9999,9999,,,,0.01,,,,
wheel_back_left_link,-6.7203E-07,-0.0039185,1.1995E-07,0,0,0,1.7978,0.0022135,1.588E-07,2.5603E-08,0.003666,-1.0669E-08,0.0022134,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/wheel_back_left_link.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/wheel_back_left_link.STL,,ZLLG55ASM150 V1.0-2,wheel_back_left_cs,wheel_back_left_axis,wheel_back_left_link_joint,continuous,0,0,0,0,0,0,turn_back_left_link,0,-1,0,9999,9999,-9999,9999,,,,0.01,,,,
turn_back_right_link,-2.4774E-06,4.2768E-06,-0.041346,0,0,0,0.1509,8.621E-05,-2.6953E-09,8.1387E-10,5.4519E-05,-1.5042E-09,6.6419E-05,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/turn_back_right_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/turn_back_right_link.STL,,20-00A-3,turn_back_right_cs,turn_back_right_axis,turn_back_right_link_joint,continuous,-0.285,-0.215,0.1705,0,0,0,base_link,0,0,1,9999,9999,-9999,9999,,,,0.01,,,,
wheel_back_right_link,6.7203E-07,0.0039185,1.1995E-07,0,0,0,1.7978,0.0022135,1.588E-07,-2.5603E-08,0.003666,1.0669E-08,0.0022134,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/wheel_back_right_link.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/wheel_back_right_link.STL,,ZLLG55ASM150 V1.0-3,wheel_back_right_cs,wheel_back_right_axis,wheel_back_right_link_joint,continuous,0,-0.0039,-0.101,0,0,0,turn_back_right_link,0,1,0,9999,9999,-9999,9999,,,,,,,,
camera_front_link,-0.0046595,0.00026537,3.6317E-05,0,0,0,0.018758,1.3987E-05,-4.7593E-09,1.2059E-08,1.7467E-06,-1.0206E-08,1.3253E-05,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/camera_front_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://qxrobot_urdf_v1/meshes/camera_front_link.STL,,G20155-15-1,camera_front_cs,camera_front_axis,camera_front_llink_joint,fixed,0.36265,0,0.2925,0,0,0,base_link,0,0,0,,,,,,,,,,,,
